Symptom,weight,url
itching,1,"https://th.bing.com/th/id/OIP._YoMi7Y2y7adhLBJfgcNeAHaE8?rs=1&pid=ImgDetMain"
skin_rash,3,"https://images.squarespace-cdn.com/content/v1/5a218294c027d8950685092e/1515451070903-MV6F884UJRLRX18LGWPV/SkinRash.jpg"
nodal_skin_eruptions,4,"https://cdn-5ec6deb4c1ac18016c054cdc.closte.com/wp-content/uploads/2019/03/skin-eruptions.jpg"
continuous_sneezing,4,"https://ultimahoracasanare.com/wp-content/uploads/2022/10/gripa.jpg"
shivering,5,"https://www.magacin247.com/wp-content/uploads/2022/06/Cinco-consejos-para-poder-combatir-este-frio-invierno.jpg"
chills,3,"https://th.bing.com/th/id/OIP.ktyA8iKQFgBWro6U82TQXgHaE8?rs=1&pid=ImgDetMain"
joint_pain,3,"https://th.bing.com/th/id/OIP.lFCeAn37bwpZUw2PYjF80QHaFL?w=258&h=181&c=7&r=0&o=5&dpr=1.3&pid=1.7"
stomach_pain,5,"https://th.bing.com/th/id/OIP.APmgt1oTGHODTq0fxN51dAHaHa?w=188&h=188&c=7&r=0&o=5&dpr=1.3&pid=1.7"
acidity,3,"https://therapidya.com/wp-content/uploads/2023/02/Symptoms-of-stomach-germ.png"
ulcers_on_tongue,4,"https://post.medicalnewstoday.com/wp-content/uploads/sites/3/2020/06/shutterstock_685747114_thumb.jpg"
muscle_wasting,3,"https://th.bing.com/th/id/OIP.d7Z_fijnMwfPngIMgF4yjQAAAA?w=314&h=182&c=7&r=0&o=5&dpr=1.3&pid=1.7"
vomiting,5,"https://th.bing.com/th/id/OIP.fWDLTcY3S9Lo9DW6nD35VQHaEK?rs=1&pid=ImgDetMain"
